Title,description,authors,image,previewLink,infoLink,publisher,publishedDate,categories,ratingsCount
The Digital Empire (Book 18),A history book by Rachel Osei.,['Rachel Osei'],,,,Vellum House,2000,['History'],53
Last Silent City (Book 19),A history book by Samuel Trent.,['Samuel Trent'],,,,Crown & Quill,2009,['History'],44
Last Digital Garden (Book 20),A romance book by Tessa Morrow.,['Tessa Morrow'],,,,Northlight Press,2012,['Romance'],39
The Golden City (Book 21),A self-help book by Alice Warren.,['Alice Warren'],,,,Vellum House,2009,['Self-Help'],60
Beyond the Infinite Algorithm (Book 22),A history book by Brian Cole.,['Brian Cole'],,,,Meridian,1998,['History'],43
Last Infinite Horizon (Book 23),A business & economics book by Clara Whitfield.,['Clara Whitfield'],,,,Vellum House,2006,['Business & Economics'],39
Last Golden Code (Book 24),A fiction book by Daniel Reyes.,['Daniel Reyes'],,,,Northlight Press,1998,['Fiction'],50
A Silent Horizon (Book 25),A business & economics book by Elena Marsh.,['Elena Marsh'],,,,Meridian,1997,['Business & Economics'],44
Secrets of the Digital Empire (Book 26),A science fiction book by Frank Delgado.,['Frank Delgado'],,,,Meridian,1999,['Science Fiction'],97
Secrets of the Infinite Algorithm (Book 27),A mystery & thriller book by Grace Holloway.,['Grace Holloway'],,,,Bluebird Books,2011,['Mystery & Thriller'],35
A Infinite Horizon (Book 28),A history book by Henry Aldridge.,['Henry Aldridge'],,,,Bluebird Books,2007,['History'],65
Secrets of the Infinite Code (Book 29),A self-help book by Isabel Navarro.,['Isabel Navarro'],,,,Northlight Press,2002,['Self-Help'],59
Beyond the Silent Horizon (Book 30),A romance book by Jonas Beck.,['Jonas Beck'],,,,Meridian,2002,['Romance'],36
The Hidden Empire (Book 31),A business & economics book by Katherine Pryce.,['Katherine Pryce'],,,,Northlight Press,2005,['Business & Economics'],67
A Golden Code (Book 32),A history book by Liam Foster.,['Liam Foster'],,,,Vellum House,2012,['History'],35
Last Infinite Code (Book 33),A history book by Marina Vidal.,['Marina Vidal'],,,,Vellum House,2010,['History'],37
The Silent City (Book 34),A science fiction book by Nathan Brooks.,['Nathan Brooks'],,,,Bluebird Books,2008,['Science Fiction'],328
The Practical Empire (Book 35),A science fiction book by Olivia Sterling.,['Olivia Sterling'],,,,Northlight Press,2007,['Science Fiction'],464
A Hidden Horizon (Book 36),A mystery & thriller book by Peter Lang.,['Peter Lang'],,,,Meridian,2009,['Mystery & Thriller'],133
A Golden Code (Book 37),A science fiction book by Quinn Harper.,['Quinn Harper'],,,,Vellum House,1997,['Science Fiction'],44
Last Silent Garden (Book 38),A history book by Rachel Osei.,['Rachel Osei'],,,,Meridian,1995,['History'],32
A Broken Code (Book 39),A science fiction book by Samuel Trent.,['Samuel Trent'],,,,Crown & Quill,2001,['Science Fiction'],77
A Broken Garden (Book 40),A fiction book by Tessa Morrow.,['Tessa Morrow'],,,,Crown & Quill,2003,['Fiction'],56
Beyond the Broken Code (Book 41),A computers & technology book by Alice Warren.,['Alice Warren'],,,,Vellum House,2001,['Computers & Technology'],39
The Infinite Garden (Book 42),A history book by Brian Cole.,['Brian Cole'],,,,Bluebird Books,1996,['History'],51
Secrets of the Infinite Algorithm (Book 43),A history book by Clara Whitfield.,['Clara Whitfield'],,,,Northlight Press,2011,['History'],30
A Silent Empire (Book 44),A history book by Daniel Reyes.,['Daniel Reyes'],,,,Vellum House,2007,['History'],240
Last Hidden Garden (Book 45),A science fiction book by Elena Marsh.,['Elena Marsh'],,,,Meridian,1997,['Science Fiction'],30
Last Infinite Manager (Book 46),A science fiction book by Frank Delgado.,['Frank Delgado'],,,,Bluebird Books,2001,['Science Fiction'],83
Beyond the Hidden Letter (Book 47),A mystery & thriller book by Grace Holloway.,['Grace Holloway'],,,,Crown & Quill,1999,['Mystery & Thriller'],42
Beyond the Broken Manager (Book 48),A business & economics book by Henry Aldridge.,['Henry Aldridge'],,,,Northlight Press,1995,['Business & Economics'],45
Last Silent Empire (Book 49),A mystery & thriller book by Isabel Navarro.,['Isabel Navarro'],,,,Meridian,2001,['Mystery & Thriller'],47
A Golden Empire (Book 50),A romance book by Jonas Beck.,['Jonas Beck'],,,,Vellum House,2006,['Romance'],41
Secrets of the Digital Letter (Book 51),A business & economics book by Katherine Pryce.,['Katherine Pryce'],,,,Meridian,2011,['Business & Economics'],542
Last Golden Empire (Book 52),A history book by Liam Foster.,['Liam Foster'],,,,Vellum House,2003,['History'],101
The Practical Algorithm (Book 53),A history book by Marina Vidal.,['Marina Vidal'],,,,Bluebird Books,2004,['History'],305
Beyond the Hidden Letter (Book 54),A computers & technology book by Nathan Brooks.,['Nathan Brooks'],,,,Meridian,2010,['Computers & Technology'],165
The Silent City (Book 55),A science fiction book by Olivia Sterling.,['Olivia Sterling'],,,,Bluebird Books,1996,['Science Fiction'],63
A Practical Letter (Book 56),A mystery & thriller book by Peter Lang.,['Peter Lang'],,,,Vellum House,2009,['Mystery & Thriller'],262
Secrets of the Infinite Garden (Book 57),A science fiction book by Quinn Harper.,['Quinn Harper'],,,,Northlight Press,1997,['Science Fiction'],31
Last Silent Manager (Book 58),A romance book by Rachel Osei.,['Rachel Osei'],,,,Meridian,2012,['Romance'],41
A Silent Letter (Book 59),A history book by Samuel Trent.,['Samuel Trent'],,,,Bluebird Books,1996,['History'],27
A Practical Empire (Book 60),A science fiction book by Tessa Morrow.,['Tessa Morrow'],,,,Bluebird Books,2012,['Science Fiction'],37
